年（和暦）,年（西暦）,月,項目,単位,値
昭和54,1979,10,市域面積,km2,426.71
昭和54,1979,10,世帯数,世帯,826723
昭和54,1979,10,人口総数,人,2763270
昭和54,1979,10,男,人,1415579
昭和54,1979,10,女,人,1347691
昭和55,1980,10,市域面積,km2,426.72
昭和55,1980,10,世帯数,世帯,925282
昭和55,1980,10,人口総数,人,2773674
昭和55,1980,10,男,人,1417015
昭和55,1980,10,女,人,1356659
昭和56,1981,10,市域面積,km2,429.08
昭和56,1981,10,世帯数,世帯,942356
昭和56,1981,10,人口総数,人,2806375
昭和56,1981,10,男,人,1434660
昭和56,1981,10,女,人,1371715
昭和57,1982,10,市域面積,km2,429.88
昭和57,1982,10,世帯数,世帯,963863
昭和57,1982,10,人口総数,人,2848155
昭和57,1982,10,男,人,1457443
昭和57,1982,10,女,人,1390712
昭和58,1983,10,市域面積,km2,429.89
昭和58,1983,10,世帯数,世帯,986872
昭和58,1983,10,人口総数,人,2893421
昭和58,1983,10,男,人,1481340
昭和58,1983,10,女,人,1412081
昭和59,1984,10,市域面積,km2,430.42
昭和59,1984,10,世帯数,世帯,1012006
昭和59,1984,10,人口総数,人,2943234
昭和59,1984,10,男,人,1507792
昭和59,1984,10,女,人,1435442
昭和60,1985,10,市域面積,km2,430.75
昭和60,1985,10,世帯数,世帯,1027090
昭和60,1985,10,人口総数,人,2992926
昭和60,1985,10,男,人,1532758
昭和60,1985,10,女,人,1460168
昭和61,1986,10,市域面積,km2,430.8
昭和61,1986,10,世帯数,世帯,1056830
昭和61,1986,10,人口総数,人,3049782
昭和61,1986,10,男,人,1563301
昭和61,1986,10,女,人,1486481
昭和62,1987,10,市域面積,km2,431.57
昭和62,1987,10,世帯数,世帯,1088661
昭和62,1987,10,人口総数,人,3110273
昭和62,1987,10,男,人,1595329
昭和62,1987,10,女,人,1514944
昭和63,1988,10,市域面積,km2,431.57
昭和63,1988,10,世帯数,世帯,1114970
昭和63,1988,10,人口総数,人,3151087
昭和63,1988,10,男,人,1616256
昭和63,1988,10,女,人,1534831
平成元,1989,10,市域面積,km2,431.57
平成元,1989,10,世帯数,世帯,1144535
平成元,1989,10,人口総数,人,3190703
平成元,1989,10,男,人,1637689
平成元,1989,10,女,人,1553014
平成２,1990,10,市域面積,km2,431.57
平成２,1990,10,世帯数,世帯,1170032
平成２,1990,10,人口総数,人,3220331
平成２,1990,10,男,人,1651527
平成２,1990,10,女,人,1568804
平成３,1991,10,市域面積,km2,433.17
平成３,1991,10,世帯数,世帯,1194464
平成３,1991,10,人口総数,人,3250887
平成３,1991,10,男,人,1666275
平成３,1991,10,女,人,1584612
平成４,1992,10,市域面積,km2,433.17
平成４,1992,10,世帯数,世帯,1216528
平成４,1992,10,人口総数,人,3272180
平成４,1992,10,男,人,1675724
平成４,1992,10,女,人,1596456
平成５,1993,10,市域面積,km2,433.17
平成５,1993,10,世帯数,世帯,1234554
平成５,1993,10,人口総数,人,3288464
平成５,1993,10,男,人,1681677
平成５,1993,10,女,人,1606787
平成６,1994,10,市域面積,km2,433.2
平成６,1994,10,世帯数,世帯,1248009
平成６,1994,10,人口総数,人,3300513
平成６,1994,10,男,人,1684538
平成６,1994,10,女,人,1615975
平成７,1995,10,市域面積,km2,433.2
平成７,1995,10,世帯数,世帯,1261330
平成７,1995,10,人口総数,人,3307136
平成７,1995,10,男,人,1685332
平成７,1995,10,女,人,1621804
平成８,1996,10,市域面積,km2,433.54
平成８,1996,10,世帯数,世帯,1279083
平成８,1996,10,人口総数,人,3319815
平成８,1996,10,男,人,1688938
平成８,1996,10,女,人,1630877
平成９,1997,10,市域面積,km2,433.63
平成９,1997,10,世帯数,世帯,1300794
平成９,1997,10,人口総数,人,3339594
平成９,1997,10,男,人,1696410
平成９,1997,10,女,人,1643184
平成10,1998,10,市域面積,km2,434.43
平成10,1998,10,世帯数,世帯,1327406
平成10,1998,10,人口総数,人,3368939
平成10,1998,10,男,人,1709796
平成10,1998,10,女,人,1659143
平成11,1999,10,市域面積,km2,434.45
平成11,1999,10,世帯数,世帯,1351166
平成11,1999,10,人口総数,人,3392937
平成11,1999,10,男,人,1719908
平成11,1999,10,女,人,1673029
平成12,2000,1,市域面積,km2,434.59
平成12,2000,1,世帯数,世帯,1354590
平成12,2000,1,人口総数,人,3397895
平成12,2000,1,男,人,1721562
平成12,2000,1,女,人,1676333
平成12,2000,2,市域面積,km2,434.64
平成12,2000,2,世帯数,世帯,1355640
平成12,2000,2,人口総数,人,3399822
平成12,2000,2,男,人,1722218
平成12,2000,2,女,人,1677604
平成12,2000,3,市域面積,km2,434.64
平成12,2000,3,世帯数,世帯,1355808
平成12,2000,3,人口総数,人,3399827
平成12,2000,3,男,人,1721719
平成12,2000,3,女,人,1678108
平成12,2000,4,市域面積,km2,434.64
平成12,2000,4,世帯数,世帯,1359184
平成12,2000,4,人口総数,人,3400149
平成12,2000,4,男,人,1720929
平成12,2000,4,女,人,1679220
平成12,2000,5,市域面積,km2,434.64
平成12,2000,5,世帯数,世帯,1368700
平成12,2000,5,人口総数,人,3411949
平成12,2000,5,男,人,1727840
平成12,2000,5,女,人,1684109
平成12,2000,6,市域面積,km2,434.64
平成12,2000,6,世帯数,世帯,1371129
平成12,2000,6,人口総数,人,3414854
平成12,2000,6,男,人,1728992
平成12,2000,6,女,人,1685862
平成12,2000,7,市域面積,km2,434.64
平成12,2000,7,世帯数,世帯,1372433
平成12,2000,7,人口総数,人,3416402
平成12,2000,7,男,人,1729549
平成12,2000,7,女,人,1686853
平成12,2000,8,市域面積,km2,434.71
平成12,2000,8,世帯数,世帯,1373460
平成12,2000,8,人口総数,人,3417792
平成12,2000,8,男,人,1730024
平成12,2000,8,女,人,1687768
平成12,2000,9,市域面積,km2,434.71
平成12,2000,9,世帯数,世帯,1375409
平成12,2000,9,人口総数,人,3420699
平成12,2000,9,男,人,1731201
平成12,2000,9,女,人,1689498
平成12,2000,10,市域面積,km2,434.71
平成12,2000,10,世帯数,世帯,1370346
平成12,2000,10,人口総数,人,3426651
平成12,2000,10,男,人,1735392
平成12,2000,10,女,人,1691259
平成12,2000,11,市域面積,km2,434.71
平成12,2000,11,世帯数,世帯,1372545
平成12,2000,11,人口総数,人,3429764
平成12,2000,11,男,人,1736881
平成12,2000,11,女,人,1692883
平成12,2000,12,市域面積,km2,434.71
平成12,2000,12,世帯数,世帯,1374209
平成12,2000,12,人口総数,人,3431809
平成12,2000,12,男,人,1737786
平成12,2000,12,女,人,1694023
平成13,2001,1,市域面積,km2,434.71
平成13,2001,1,世帯数,世帯,1374780
平成13,2001,1,人口総数,人,3432703
平成13,2001,1,男,人,1737999
平成13,2001,1,女,人,1694704
平成13,2001,2,市域面積,km2,434.71
平成13,2001,2,世帯数,世帯,1375980
平成13,2001,2,人口総数,人,3434951
平成13,2001,2,男,人,1738764
平成13,2001,2,女,人,1696187
平成13,2001,3,市域面積,km2,434.71
平成13,2001,3,世帯数,世帯,1376529
平成13,2001,3,人口総数,人,3435184
平成13,2001,3,男,人,1738523
平成13,2001,3,女,人,1696661
平成13,2001,4,市域面積,km2,434.71
平成13,2001,4,世帯数,世帯,1380294
平成13,2001,4,人口総数,人,3435699
平成13,2001,4,男,人,1738143
平成13,2001,4,女,人,1697556
平成13,2001,5,市域面積,km2,434.71
平成13,2001,5,世帯数,世帯,1391062
平成13,2001,5,人口総数,人,3448800
平成13,2001,5,男,人,1745645
平成13,2001,5,女,人,1703155
平成13,2001,6,市域面積,km2,434.71
平成13,2001,6,世帯数,世帯,1394081
平成13,2001,6,人口総数,人,3452151
平成13,2001,6,男,人,1747436
平成13,2001,6,女,人,1704715
平成13,2001,7,市域面積,km2,434.71
平成13,2001,7,世帯数,世帯,1396309
平成13,2001,7,人口総数,人,3454520
平成13,2001,7,男,人,1748569
平成13,2001,7,女,人,1705951
平成13,2001,8,市域面積,km2,434.73
平成13,2001,8,世帯数,世帯,1398028
平成13,2001,8,人口総数,人,3456683
平成13,2001,8,男,人,1749614
平成13,2001,8,女,人,1707069
平成13,2001,9,市域面積,km2,434.73
平成13,2001,9,世帯数,世帯,1400509
平成13,2001,9,人口総数,人,3460130
平成13,2001,9,男,人,1751226
平成13,2001,9,女,人,1708904
平成13,2001,10,市域面積,km2,434.73
平成13,2001,10,世帯数,世帯,1401917
平成13,2001,10,人口総数,人,3461690
平成13,2001,10,男,人,1751756
平成13,2001,10,女,人,1709934
平成13,2001,11,市域面積,km2,434.73
平成13,2001,11,世帯数,世帯,1405116
平成13,2001,11,人口総数,人,3466239
平成13,2001,11,男,人,1753919
平成13,2001,11,女,人,1712320
平成13,2001,12,市域面積,km2,434.73
平成13,2001,12,世帯数,世帯,1406643
平成13,2001,12,人口総数,人,3468267
平成13,2001,12,男,人,1754590
平成13,2001,12,女,人,1713677
平成14,2002,1,市域面積,km2,434.73
平成14,2002,1,世帯数,世帯,1407315
平成14,2002,1,人口総数,人,3469108
平成14,2002,1,男,人,1754655
平成14,2002,1,女,人,1714453
平成14,2002,2,市域面積,km2,434.73
平成14,2002,2,世帯数,世帯,1408388
平成14,2002,2,人口総数,人,3470541
平成14,2002,2,男,人,1755140
平成14,2002,2,女,人,1715401
平成14,2002,3,市域面積,km2,434.73
平成14,2002,3,世帯数,世帯,1409214
平成14,2002,3,人口総数,人,3471203
平成14,2002,3,男,人,1755263
平成14,2002,3,女,人,1715940
平成14,2002,4,市域面積,km2,434.73
平成14,2002,4,世帯数,世帯,1412547
平成14,2002,4,人口総数,人,3470790
平成14,2002,4,男,人,1754587
平成14,2002,4,女,人,1716203
平成14,2002,5,市域面積,km2,434.73
平成14,2002,5,世帯数,世帯,1424605
平成14,2002,5,人口総数,人,3486470
平成14,2002,5,男,人,1763335
平成14,2002,5,女,人,1723135
平成14,2002,6,市域面積,km2,434.73
平成14,2002,6,世帯数,世帯,1427389
